Site,Stem_id,Plot,Date,Species,DBH,Distance,Azimuth,Genus,Specific epithet,Scientific name,Common name,functional_group
Tuskegee,49,3,6/6/2022,QUNI,16.9,5.1,,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,48,3,6/6/2022,QUNI,15.5,3.2,,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,28,2,6/6/2022,QUNI,15.2,7.8,36,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,27,2,6/6/2022,QUNI,13.2,7.7,348,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,26,2,6/6/2022,QUNI,12,4.1,299,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,25,2,6/6/2022,QUNI,11.5,3.9,338,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,29,2,6/6/2022,QUNI,30.8,3.3,117,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,1,1,6/6/2022,QUNI,13.3,6.3,29,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,4,1,6/6/2022,QUNI,16.9,6.3,308,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,7,1,6/6/2022,QUNI,17.3,6.1,94,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,5,1,6/6/2022,QUNI,17,5.5,251,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,6,1,6/6/2022,QUNI,17.1,5.4,243,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,9,1,6/6/2022,QUNI,43,3.6,8,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,3,1,6/6/2022,QUNI,15.2,2.8,306,Quercus ,nigra,Quercus nigra,water oak,mesophyte
Tuskegee,2,1,6/6/2022,QUNI,13.4,1.7,182,Quercus ,nigra,Quercus nigra,water oak,mesophyte
CR,1233,107,6/1/2022,QUVE,16.4,7.4,128,Quercus ,velutina,Quercus velutina,black oak,uo
CR,1232,107,6/1/2022,QUVE,14.3,5.4,16,Quercus ,velutina,Quercus velutina,black oak,uo
CR,1234,107,6/1/2022,QUVE,17.2,4.6,143,Quercus ,velutina,Quercus velutina,black oak,uo
CR,1222,106,6/1/2022,QUVE,15.5,6.1,334,Quercus ,velutina,Quercus velutina,black oak,uo
CR,1223,106,6/1/2022,QUVE,34.3,6,219,Quercus ,velutina,Quercus velutina,black oak,uo
CR,1211,105,6/1/2022,QUMO,25.9,7.8,278,Quercus ,montana,Quercus montana,chestnut oak,uo
CR,1212,105,6/1/2022,QUMO,27.2,7.2,239,Quercus ,montana,Quercus montana,chestnut oak,uo
CR,1210,105,6/1/2022,QUMO,18.9,4.3,284,Quercus ,montana,Quercus montana,chestnut oak,uo
CR,1197,104,6/1/2022,QUAL,25.4,7.9,31,Quercus ,alba,Quercus alba,white oak,uo
CR,1195,104,6/1/2022,QUAL,12.1,5.2,71,Quercus ,alba,Quercus alba,white oak,uo
CR,1198,104,6/1/2022,QURU,27.2,4.6,26,Quercus ,rubrum,Quercus rubrum,northern red oak,uo
CR,1196,104,6/1/2022,QURU,22.6,1.9,240,Quercus ,rubrum,Quercus rubrum,northern red oak,uo
Talladega,1177,102,7/6/2022,QURU,44.6,5.2,45,Quercus ,rubrum,Quercus rubrum,northern red oak,uo
Talladega,1167,101,7/6/2022,QUAL,39.7,1.7,125,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1160,100,7/6/2022,QURU,28.7,4.6,21,Quercus ,rubrum,Quercus rubrum,northern red oak,uo
Talladega,1161,100,7/6/2022,QURU,48.2,4.5,138,Quercus ,rubrum,Quercus rubrum,northern red oak,uo
Talladega,1134,97,7/8/2022,QUAL,17.5,7.6,3,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1137,97,7/8/2022,QUAL,39,6.9,199,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1135,97,7/8/2022,QUAL,18.4,5.4,64,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1133,97,7/8/2022,QUAL,11.9,3.6,332,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1136,97,7/8/2022,QUAL,21.5,2.8,258,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1123,96,7/8/2022,QUAL,11.4,6.9,2,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1125,96,7/8/2022,QUAL,18.8,5.6,258,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1127,96,7/8/2022,QUAL,27.4,5.3,131,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1126,96,7/8/2022,QUAL,21.3,4.4,16,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1124,96,7/8/2022,QUAL,16,1.7,55,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1107,94,7/8/2022,QUAL,25.7,5.2,125,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1106,94,7/8/2022,QUFA,12,2.4,88,Quercus ,falcata,Quercus falcata,southern red oak,uo
Talladega,1108,94,7/8/2022,QUAL,28.5,2.1,22,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1096,93,7/8/2022,QURU,55,3.2,268,Quercus ,rubrum,Quercus rubrum,northern red oak,uo
Talladega,1094,93,7/8/2022,QURU,24.3,2.2,352,Quercus ,rubrum,Quercus rubrum,northern red oak,uo
Talladega,1095,93,7/8/2022,QURU,26.4,1.7,148,Quercus ,rubrum,Quercus rubrum,northern red oak,uo
Talladega,1084,92,N/A,QURU,21.6,7.6,N/A,Quercus ,rubrum,Quercus rubrum,northern red oak,uo
Talladega,1087,92,N/A,QURU,51,6.9,18,Quercus ,rubrum,Quercus rubrum,northern red oak,uo
Talladega,1086,92,N/A,QURU,45.6,6,248,Quercus ,rubrum,Quercus rubrum,northern red oak,uo
Talladega,1079,92,N/A,QUAL,11.3,5.4,156,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1085,92,N/A,QUAL,28.4,5.2,82,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1081,92,N/A,QUAL,18.5,5,94,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1083,92,N/A,QUAL,20.9,5,144,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1082,92,N/A,QUAL,19.9,4.8,322,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1080,92,N/A,QUAL,15.4,4.6,225,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1069,91,7/8/2022,QUMO,23.7,7.6,57,Quercus ,montana,Quercus montana,chestnut oak,uo
Talladega,1070,91,7/8/2022,QUAL,24.1,6.8,17,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1072,91,7/8/2022,QUAL,40,5.2,135,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1073,91,7/8/2022,QUAL,52.5,4.9,86,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1071,91,7/8/2022,QUAL,35.5,2.1,69,Quercus ,alba,Quercus alba,white oak,uo
Talladega,1065,89,7/6/2022,QUMO,33.4,3.5,268,Quercus ,montana,Quercus montana,chestnut oak,uo
Talladega,1060,88,7/6/2022,QUMO,24.5,7.9,100,Quercus ,montana,Quercus montana,chestnut oak,uo
