Plot,Treatment,Burn_Szn,canopy_trt,litter_type,percent,frs1_cms,frs2_cms,avg_fh,consump,avg_max_temp,fuel_moist,meso_os
11,control,LD,low,sg,1.646514021,0.869565217,0.308641975,14.28571429,95,473,10.0099108,
11,thin,LD,low,sg,1.158301158,0.498753117,0.704225352,10.55555556,95,463.7777778,7.524271845,
12,control,LD,high,sg,9.385665529,0.643086817,0.479616307,16.66666667,97,497.6666667,11.85185185,
12,thin,LD,high,sg,7.696476965,0.775193798,0.586510264,8.5,85,358.7777778,11.07142857,
1,control,ED,high,wo,10.703667,0.336700337,0.187090739,12.17391304,82,141.3333333,14.30020284,
1,thin,ED,high,wo,12.66044596,0.687285223,0.454545455,17.75,97,388.2222222,8.840304183,
2,control,ED,med,wo,0.946040645,3.03030303,1.834862385,28.33333333,95,463.2222222,11.44230769,
2,thin,ED,med,wo,9.33137399,2.985074627,0.823045267,17,97,399,10.10215664,
3,control,ED,high,wo,31.0515873,0.858369099,0.473933649,27.72727273,90,392.7777778,11.20448179,
3,thin,ED,high,wo,43.42393002,0.389105058,0.393700787,13.6,80,250.2222222,8.839050132,
4,control,ED,low,wo,20.96412556,0.732600733,0.668896321,18,100,411.3333333,11.1332008,
4,thin,ED,low,wo,4.128440367,0.662251656,0.248756219,20.20833333,90,295.4444444,9.59651036,
5,control,ED,low,wo,3.637660485,0.563380282,0.481927711,21.53846154,100,379.875,7.418397626,
5,thin,ED,low,wo,3.743676223,0.754716981,0.778210117,19.58333333,97,394.3333333,7.352941176,
6,control,ED,low,wo,14.86671224,1.834862385,0.280504909,23.52941176,100,382,7.441471572,
6,thin,ED,low,wo,8.846510396,0.564971751,0.534759358,25.76923077,100,358.7777778,12.04379562,
7,control,ED,med,wo,27.42759796,0.404040404,0.34965035,13.42105263,85,270.4444444,11.45320197,
7,thin,ED,med,wo,8.402489627,1.015228426,0.896860987,28.33333333,100,375.8888889,11.9831815,
8,control,ED,med,wo,21.41939627,0,0,11.25,15,52.88888889,10.86036671,
8,thin,ED,med,wo,56.38166047,0,0,10,10,35.88888889,9.076433121,
9,control,ED,high,wo,4.054982818,0.689655172,0.449438202,17.63157895,95,371.2222222,10.06944444,
9,thin,ED,high,wo,10.91639284,2.941176471,0.555555556,24,100,394.3333333,7.793522267,
10,control,ED,med,wo,26.30761264,1.020408163,1.03626943,18.92857143,97,385.1111111,13.03258145,
