collection,Plot,Treatment,Burn_Szn,canopy_trt,litter_type,litter_pct
1/17/2022,1,control,Control,high,uo,2.632366138
1/17/2022,1,control,ED,high,uo,9.71258672
1/17/2022,1,control,GS,high,uo,1.001460463
1/17/2022,1,control,LD,high,uo,8.445642408
1/17/2022,1,thin,Control,high,uo,10.21367521
1/17/2022,1,thin,ED,high,uo,6.790204582
1/17/2022,1,thin,GS,high,uo,20.13211702
1/17/2022,1,thin,LD,high,uo,18.55905153
1/17/2022,2,control,Control,med,uo,16.36868064
1/17/2022,2,control,ED,med,uo,3.188507358
1/17/2022,2,control,GS,med,uo,28.48800834
1/17/2022,2,control,LD,med,uo,17.98816568
1/17/2022,2,thin,Control,med,uo,11.38888889
1/17/2022,2,thin,ED,med,uo,17.85451874
1/17/2022,2,thin,GS,med,uo,4.378189632
1/17/2022,2,thin,LD,med,uo,11.54201293
1/17/2022,3,control,Control,high,uo,3.694581281
1/17/2022,3,control,ED,high,uo,2.777777778
1/17/2022,3,control,GS,high,uo,0
1/17/2022,3,control,LD,high,uo,0
1/17/2022,3,thin,Control,high,uo,0.59914408
1/17/2022,3,thin,ED,high,uo,10.1843174
1/17/2022,3,thin,GS,high,uo,7.281344248
1/17/2022,3,thin,LD,high,uo,3.313432836
1/17/2022,4,control,Control,low,uo,58.14492754
1/17/2022,4,control,ED,low,uo,44.46935725
1/17/2022,4,control,GS,low,uo,73.50737249
1/17/2022,4,control,LD,low,uo,31.40771637
1/17/2022,4,thin,Control,low,uo,11.22475741
1/17/2022,4,thin,ED,low,uo,18.80733945
1/17/2022,4,thin,GS,low,uo,32.13402911
1/17/2022,4,thin,LD,low,uo,26.69845054
1/17/2022,5,control,Control,low,uo,48.81915238
1/17/2022,5,control,ED,low,uo,74.5363766
1/17/2022,5,control,GS,low,uo,36.78492239
1/17/2022,5,control,LD,low,uo,37.15139442
1/17/2022,5,thin,Control,low,uo,32.10487262
1/17/2022,5,thin,ED,low,uo,61.38279933
1/17/2022,5,thin,GS,low,uo,69.46454414
1/17/2022,5,thin,LD,low,uo,49.60691824
1/17/2022,6,control,Control,low,uo,67.08268331
1/17/2022,6,control,ED,low,uo,11.89336979
1/17/2022,6,control,GS,low,uo,63.52334037
1/17/2022,6,control,LD,low,uo,44.33941526
1/17/2022,6,thin,Control,low,uo,25.31152648
1/17/2022,6,thin,ED,low,uo,13.21679248
1/17/2022,6,thin,GS,low,uo,18.51418543
1/17/2022,6,thin,LD,low,uo,0.198757764
1/17/2022,7,control,Control,med,uo,0
1/17/2022,7,control,ED,med,uo,0.255536627
1/17/2022,7,control,GS,med,uo,0
1/17/2022,7,control,LD,med,uo,7.046910519
1/17/2022,7,thin,Control,med,uo,0.347901718
1/17/2022,7,thin,ED,med,uo,0.643153527
1/17/2022,7,thin,GS,med,uo,0
1/17/2022,7,thin,LD,med,uo,1.182312603
1/17/2022,8,control,Control,med,uo,10.4414003
1/17/2022,8,control,ED,med,uo,35.77392421
1/17/2022,8,control,GS,med,uo,5.872143477
1/17/2022,8,control,LD,med,uo,0.250125063
1/17/2022,8,thin,Control,med,uo,6.611333715
1/17/2022,8,thin,ED,med,uo,11.33828996
1/17/2022,8,thin,GS,med,uo,4.871887405
1/17/2022,8,thin,LD,med,uo,5.513895015
