Site,Plot,group,Avg_CC,Avg_Shrub_Live,Avg_Shrub_Dead,Avg_Shrub_Ht,Avg_Herb_Live,Avg_Herb_Dead,Avg_Herb_Ht,Avg_Cones_m2,Avg_Acorns_m2,Avg_Balls_m2,Aspect,Slope,Avg_Depth_cm,Avg_Duff_cm,FWD_Mgha,CWD_Mgha,Pine_Seedlings100m2,UO_Seedlings100m2,Meso_Seedlings100m2,Pine_Saplings100m2,UO_Saplings100m2,Meso_Saplings100m2,Pine_litter_pct,UO_litter_pct,SG_litter_pct,WO_litter_pct,Meso_litter_pct,"Other_litter_pct_(summed SG, WO, Meso)",Avg_Pine_load_gm2,Avg_UO_load_gm2,Avg_SG_load_gm2,Avg_WO_load_gm2,Avg_Meso_load_gm2,"Other_litter_pct_(summed SG, WO, Meso)_gm2",Avg_Total_load,BA_m2ha,BA_ft2a,PineBA_m2ha,PineBA_ft2a,Pine_pctBAft2a,Pine_iv,UO_iv,Meso_iv
Tuskegee,41,>70% Pine,74,46.66666667,0,73.33333333,0,0,0,3.666666667,0,0,NE,2.8,2.75,0.25,3.642280371,8.937577921,0,0,619.4690265,0,0,194.4444444,69.91405849,1.289122627,2.995125705,25.48742945,0.314263725,28.79681888,605.55055,11.16555,25.94185,220.7557,2.72195,249.4195,866.1356,36.53732403,159.1518753,33.74941386,147.0080978,92.36969251,202.6261028,42.13090687,55.24299036
Tuskegee,42,>70% Pine,93.06666667,16.66666667,0,51.66666667,8.333333333,0,11.66666667,2,1,0.333333333,E,1.2,4.5,1.25,2.51067094,0,0,0,619.4690265,0,0,83.33333333,65.75929252,0,0,32.9556446,1.285062871,34.24070748,264.36245,0,0,132.48675,5.16615,137.6529,402.01535,37.92889197,165.2133659,28.81059169,125.4952249,75.9594868,181.5150423,0,118.4849577
Tuskegee,43,30 - 70% Pine,88.90666667,20,0,40,6.666666667,0,8.333333333,2.666666667,1,0,E,1,1.75,0,1.599202401,0,353.9823009,0,442.4778761,0,0,472.2222222,49.21837422,0,0.384800385,47.43867244,2.958152958,50.78162578,227.36615,0,1.7776,219.14475,13.6653,234.58765,461.9538,15.74877161,68.59961975,7.508745515,32.70712789,47.67829327,126.2497218,0,173.7502782
Tuskegee,44,30 - 70% Pine,90.98666667,38.33333333,0,56.66666667,5.333333333,0,18.33333333,0.333333333,1.666666667,0,S,2.6,3,1.25,4.311046603,5.593691009,0,0,530.9734513,0,0,55.55555556,38.25123153,0.886699507,0,59.3226601,1.539408867,60.86206897,172.5383,3.9996,0,267.58435,6.94375,274.5281,451.066,33.58002381,146.2702566,14.41868713,62.80594315,42.93828739,130.4382874,0,169.5617126
Tuskegee,45,30 - 70% Pine,89.94666667,20,0,41.66666667,0.333333333,0,3.333333333,1.666666667,0.333333333,0,N/A,0,4.5,1.5,3.175874843,1.155721283,88.49557522,442.4778761,265.4867257,0,0,333.3333333,47.25450474,43.0856168,1.588655507,7.570103423,0.501119522,9.659878452,246.1976,224.47755,8.27695,39.4405,2.61085,50.3283,521.00345,28.74965164,125.2297779,12.47256475,54.32888483,43.38335957,118.3833596,63.92141164,117.6952288
Tuskegee,47,30 - 70% Pine,92.37333333,5.333333333,0,13.33333333,1,0,10,1,0.333333333,0,S,2.1,1.5,0.5,2.054920943,0,0,88.49557522,353.9823009,0,0,0,52.55446058,3.397302905,0,42.60892116,1.439315353,44.04823651,225.14415,14.5541,0,182.5373,6.16605,188.70335,428.4016,30.89897221,134.5919413,11.83657577,51.5585988,38.30734463,87.43015165,75.57918521,136.9906631
Tuskegee,48,30 - 70% Pine,94.45333333,2,0,30,10.66666667,0,10,0.666666667,0.666666667,0,S,1.8,3.75,0.875,1.82646795,4.992715942,0,0,265.4867257,0,0,0,28.66979656,17.33959311,2.081377152,18.32550861,33.58372457,53.99061033,101.7676,61.5494,7.38815,65.04905,119.2103,191.6475,354.9645,29.22145182,127.2848787,10.77035782,46.91429079,36.85770948,120.1910428,0,179.8089572
Tuskegee,49,>70% Pine,84.74666667,38.33333333,0,136.6666667,28.33333333,0,23.33333333,0.333333333,0,0,N/A,0,3,0.5,1.368374523,0,0,0,176.9911504,0,0,388.8888889,77.82989368,0,7.827809047,10.7879925,3.554304774,22.17010632,414.79185,0,41.71805,57.49425,18.94255,118.15485,532.9467,50.37215115,219.4145995,36.91554048,160.7993374,73.28561444,166.1427573,0,133.8572427
Tuskegee,50,30 - 70% Pine,91.68,8.666666667,0,43.33333333,43.33333333,0,23.33333333,1,0.333333333,0.333333333,N/A,0,3.75,1.25,1.364812195,0,0,0,0,0,0,55.55555556,76.53576265,0,11.7444294,9.208420534,2.511387418,23.46423735,345.35435,0,52.9947,41.5514,11.3322,105.8783,451.23265,60.3770321,262.9945717,37.90067323,165.0904487,62.77332939,136.5828532,0,163.4171468
Tuskegee,51,>70% Pine,94.10666667,10,0,30,33.33333333,0,30,1.333333333,0,0.333333333,N/A,0,3.25,0.375,4.762015373,1.54096171,0,0,353.9823009,0,0,55.55555556,74.77044163,0,24.26759948,0.408103775,0.553855123,25.22955837,284.9715,0,92.49075,1.5554,2.1109,96.15705,381.12855,54.66007926,238.0922618,44.60124503,194.277276,81.59747594,167.9611123,0,132.0388877
MOT,52,30 - 70% Pine,94.10666667,6.333333333,0,21.66666667,0,0,0,1.333333333,1.333333333,0,SW,4.1,2.5,0.5,2.27509329,0,0,0,176.9911504,0,27.77777778,0,20.34343788,54.93253899,6.868757666,12.03784826,5.817417207,24.72402313,64.49355,174.14925,21.7756,38.16285,18.4426,78.38105,317.02385,26.66546317,116.1513215,9.34816459,40.71940035,35.05719938,96.96196128,91.27678213,111.7612566
MOT,53,30 - 70% Pine,91.33333333,0,0,0,6.666666667,0,8.333333333,4,2.333333333,0,SW,2.8,2.75,0.375,2.067982814,4.553541854,176.9911504,0,88.49557522,0,0,27.77777778,20.56539298,56.22864244,2.195298747,6.347727037,14.6629388,23.20596459,110.3223,301.6365,11.7766,34.05215,78.6588,124.48755,536.44635,31.79851719,138.5102433,16.75699948,72.99133043,52.69742415,116.7999883,68.93703356,114.2629782
MOT,54,30 - 70% Pine,90.64,1.666666667,0,3.333333333,0.666666667,0,1.666666667,3,0,0.666666667,SW,3.1,2.75,0.5,3.635124258,0,0,0,530.9734513,0,0,55.55555556,71.72200089,0.2478973,12.06728641,7.330677291,8.632138114,28.03010181,450.01055,1.5554,75.71465,45.9954,54.16125,175.8713,627.43725,38.75845293,168.8268266,25.435988,110.795886,65.62694347,167.8008565,0,132.1991435
