Site,Plot,Avg_CC,Avg_Woody_Live,Avg_Woody_Ht,Avg_Herb_Live,Avg_Herb_Ht,Avg_Cones,Avg_Acorns,Avg_Balls,Slope,Avg_Depth_cm,Avg_Duff_cm,FWD_Mgha,CWD_Mgha,Pine_pct,UO_pct,Meso_all_pct,Avg_Pine_load,Avg_UO_load,Meso_all_load,Avg_Total_load
Tuskegee,36,1.924554941,0.56427143,1.884606581,1.698970004,1.367976785,-0.477121255,0,-0.477121255,0,0.176091259,-0.425968732,0.260764184,1.368634262,1.673275726,0,1.723228666,2.241890244,0,2.35681043,2.568614518
Tuskegee,37,1.948934328,1.176091259,1.970036777,1.669006781,1.477121255,0,0,0,0,0.439332694,-0.425968732,0.310537281,0.948779451,1.84640888,-0.284094171,1.46640069,2.63106197,0.500558919,2.662813309,2.78465309
Tuskegee,38,1.972017599,1,1.801632346,1.56427143,1.477121255,0,0,0,0,0.352182518,-0.425968732,0.204225787,0.80347893,1.559822101,-0.656887008,1.80268285,2.191842095,-0.024867015,2.342365556,2.632019994
Tuskegee,39,1.95230801,0.522878745,1.22184875,1.801632346,1.522878745,-0.477121255,0,0,0,0.301029996,-0.602059991,0.501863379,0,1.859194535,0,1.442332947,2.522328341,0,2.557027875,2.663133806
Tuskegee,40,1.90439092,1.30820858,1.812913357,0.726998728,1.124938736,0.522878745,0,0,0.079181246,0.397940009,-0.204119983,0.47205429,0.596031813,1.857009786,0,1.447986759,2.520876578,0,2.556125889,2.663866792
Tuskegee,41,1.86923172,1.669006781,1.865301426,0,0,0.56427143,0,0,0.447158031,0.439332694,-0.602059991,0.561373373,0.951219841,1.844564514,0.110294231,1.459344515,2.782150403,1.047880121,2.809904938,2.937585889
Tuskegee,42,1.968794159,1.22184875,1.713210443,0.920818754,1.06694679,0.301029996,0,-0.477121255,0.079181246,0.653212514,0.096910013,0.399789796,0,1.817957132,0,1.534542729,2.422199768,0,2.475094396,2.604242636
Tuskegee,43,1.948934328,1.301029996,1.602059991,0.823908741,0.920818754,0.425968732,0,0,0,0.243038049,0,0.203903433,0,1.692127264,0,1.705706601,2.356725808,0,2.444275591,2.664598544
Tuskegee,44,1.958977755,1.583576586,1.753327667,0.726998728,1.263241435,-0.477121255,0.22184875,0,0.414973348,0.477121255,0.096910013,0.634582718,0.747698473,1.582645422,-0.052223533,1.784346712,2.236885515,0.60201656,2.375480658,2.654240093
Tuskegee,45,1.953985073,1.301029996,1.619788758,-0.477121255,0.522878745,0.22184875,-0.477121255,0,0,0.653212514,0.176091259,0.501863379,0.062853111,1.674443216,1.634332315,0.984971662,2.391283815,2.351172914,2.681544259,2.716840599
Tuskegee,47,1.965546616,0.726998728,1.124938736,0,1,0,-0.477121255,0,0.322219295,0.176091259,-0.301029996,0.312795118,0,1.720609583,0.53113427,1.643928526,2.352460667,1.162985355,2.452930493,2.631851084
Tuskegee,48,1.975217289,0.301029996,1.477121255,1.028028724,1,-0.176091259,-0.176091259,0,0.255272505,0.574031268,-0.057991947,0.261612056,0.698336858,1.457424611,1.239038902,1.732318237,2.007609533,1.789223824,2.337074936,2.550184921
Tuskegee,49,1.928122625,1.583576586,2.135662602,1.452297671,1.367976785,-0.477121255,0,0,0,0.477121255,-0.301029996,0.13620498,0,1.891146437,0,1.345767776,2.617830215,0,2.640443627,2.726683777
Tuskegee,50,1.962274605,0.937852093,1.636822098,1.636822098,1.367976785,0,-0.477121255,-0.477121255,0,0.574031268,0.096910013,0.135072894,0,1.883864414,0,1.370406443,2.538264931,0,2.5668128,2.654400517
Tuskegee,51,1.973620391,1,1.477121255,1.522878745,1.477121255,0.124938736,0,-0.477121255,0,0.511883361,-0.425968732,0.677790793,0.187791847,1.873729946,0,1.401909649,2.454801428,0,2.491643275,2.581071483
