Site,Plot,group,Biomass_Load_Source,Load_kgm2,Pine_ft2a,Pine_pctBAft2a,pine_iv,uo_iv,meso_iv
Kreher,22,30 - 70% Pine,Litter,0.7340377,67.90945756,39.28671337,109.2867134,0,190.7132866
Kreher,23,30 - 70% Pine,Litter,0.3962937,101.3819858,45.42447788,92.09114455,66.63701643,141.271839
MOT,24,30 - 70% Pine,Litter,0.5492784,131.9386549,63.99393157,147.3272649,0,152.6727351
MOT,25,>70% Pine,Litter,0.6636003,144.4067172,78.10737305,174.2612192,0,125.7387808
MOT,26,30 - 70% Pine,Litter,0.5758313,76.35134838,58.16495682,114.8316235,0,185.1683765
MOT,27,30 - 70% Pine,Litter,0.3658523,42.77737542,31.74273989,71.32607322,42.22114901,186.4527778
MOT,28,30 - 70% Pine,Litter,0.72998255,129.4032133,61.25159859,150.1404875,42.97647966,106.8830329
MOT,29,30 - 70% Pine,Litter,0.81808485,46.90888041,36.94645896,103.6131256,97.48611292,98.90076145
MOT,30,30 - 70% Pine,Litter,0.4635092,75.20924999,41.47984237,94.8131757,57.44898815,147.7378361
MOT,31,>70% Pine,Litter,0.64965725,136.222496,76.0436841,173.1025076,0,126.8974924
MOT,32,< 30% Pine,Litter,0.3679632,18.32311304,16.49422558,56.72411064,102.2436602,141.0322292
MOT,33,30 - 70% Pine,Litter,0.3881834,73.56973436,48.41395056,100.4972839,57.15946343,142.3432527
Tuskegee,34,30 - 70% Pine,Litter,0.5579442,133.377479,70.61363581,153.9469692,0,146.0530308
Tuskegee,35,30 - 70% Pine,Litter,0.6593785,108.4849755,68.59202689,161.4491697,0,138.5508303
Tuskegee,36,30 - 70% Pine,Litter,0.37035185,81.35088196,30.70242663,100.7024266,0,199.2975734
Tuskegee,37,30 - 70% Pine,Litter,0.6090502,103.7163977,61.91420128,151.9142013,0,148.0857987
Tuskegee,38,30 - 70% Pine,Litter,0.42856825,63.53296359,36.32699701,98.82699702,0,201.173003
Tuskegee,39,30 - 70% Pine,Litter,0.4603984,106.8757242,68.41835812,157.307247,0,142.692753
Tuskegee,40,30 - 70% Pine,Litter,0.4611761,151.5223875,71.13758281,146.1375828,0,153.8624172
Tuskegee,41,>70% Pine,Litter,0.8661356,147.0080978,92.36969251,202.6261028,42.13090687,55.24299036
Tuskegee,42,>70% Pine,Litter,0.40201535,125.4952249,75.9594868,181.5150423,0,118.4849577
Tuskegee,43,30 - 70% Pine,Litter,0.4619538,32.70712789,47.67829327,126.2497218,0,173.7502782
