Site,Plot,group,functional,seedling,sapling,BA_m2ha,BA_ft2a,Pine_m2ha,Pine_ft2a,Pine_pctBAft2a,pine_iv,uo_iv,meso_iv
Talladega,70,above70,uo,0,0,28.20417999,122.8537736,27.32912747,119.0421576,96.89743678,196.8974368,51.72633752,51.3762257
Talladega,72,above70,uo,0,55.55555556,23.97579457,104.4354716,22.2225455,96.79854462,92.68742037,206.0207537,48.57869143,45.40055486
Talladega,74,bw3070,uo,88.49557522,0,21.4714303,93.52678357,10.1443832,44.187626,47.24595919,110.5792925,93.71265683,95.70805064
Talladega,75,below30,uo,0,0,18.45753735,80.39865426,3.851449866,16.77641932,20.86654245,63.29078487,77.08846406,159.6207511
Talladega,76,bw3070,uo,0,0,25.30758693,110.2365875,13.53338737,58.94969148,53.4756135,124.3089468,93.30097137,82.3900818
Talladega,77,bw3070,uo,0,55.55555556,37.10977233,161.6453863,16.88951497,73.56855084,45.51231094,108.8456443,77.55273379,113.6016219
Talladega,78,below30,uo,530.9734513,0,47.69393307,207.7486266,9.395790984,40.92685479,19.70018067,73.03351401,125.3215489,101.6449371
Talladega,79,bw3070,uo,442.4778761,0,40.34898819,175.7549932,25.124301,109.4382176,62.26748705,141.0553658,46.50654258,112.4380916
Talladega,80,bw3070,uo,88.49557522,0,48.68182171,212.0517423,26.81272849,116.7927902,55.07749617,115.6835568,103.5271439,80.78929933
Talladega,81,bw3070,uo,0,0,39.32026584,171.2740112,17.23186607,75.05978811,43.82438853,102.1577219,118.2584796,79.58379853
Talladega,82,bw3070,uo,0,0,35.05248288,152.6840986,21.60969046,94.12902701,61.6495286,134.9828619,52.32777223,112.6893658
Talladega,83,bw3070,uo,265.4867257,0,21.64571107,94.28592817,10.97697175,47.81427447,50.71199425,163.2119942,136.7880058,0
Talladega,84,bw3070,uo,0,0,30.97322591,134.9153809,12.75851719,55.57445682,41.19208385,107.8587505,70.45405557,121.6871939
Talladega,85,above70,uo,88.49557522,0,31.28468002,136.2720348,22.56380977,98.28504781,72.12415073,207.8384364,92.16156355,0
Talladega,86,bw3070,uo,176.9911504,0,32.82234882,142.969922,15.91276633,69.3139596,48.48149782,145.4511948,106.2436707,48.30513452
Talladega,87,above70,uo,88.49557522,0,36.71738828,159.936212,27.28336421,118.8428188,74.30638585,210.0206716,89.97932844,0
Talladega,88,bw3070,uo,88.49557522,0,33.81431307,147.2907904,21.37734197,93.11694693,63.21980258,153.2198026,146.7801974,0
